Post,Emotion,Sentiment
I love the new update! The features are amazing.,Love,Positive
Why does this app crash all the time? So frustrating!,Frustration,Negative
"The new interface is okay, I guess.",good,Neutral
Customer service was extremely helpful and solved my issue quickly!,Good,Positive
Not impressed with the recent changes.,Bad,Negative
"Meh, the update is neither good nor bad.",Neutral,Neutral
Fantastic service and quick delivery!,Awasome,Positive
Terrible experience. I will never use this again.,Bad,Negative
"Just tried the new feature, it's pretty cool.",new,Positive
Nothing special about the new version.,Okay,Neutral
Absolutely hate the new design. It's so confusing.,Hate,Negative
"Great job on the latest update, really enjoying it!",Great,Positive
This app is so slow now. What did you do?,Bad,Negative
The recent changes are acceptable.,Acceptance,Neutral
Happy with the customer support.,Happy,Positive
The update didn't fix any of the issues I was facing.,Bad,Negative
"Decent app, does what it needs to.",Bad,Neutral
Loving the new dark mode feature!,Love,Positive
Update ruined everything. Not happy at all.,Not Happy,Negative
"The changes are fine, nothing spectacular.",Fine,Neutral
Hilerious,Adventurous,positive
This made my day,Good,positive
LOL ,Bad,positive
Not fanny at all,Not Funny,negative
Waste of time,Regret,negative
Terrible experience. I will never use this again.,Terrible ,negative
I love the new update! The features are amazing.,Love,positive
Interesting,Interesting,neutral
Hmm,Okay,neutral
Mixed feelings about this,Normal,neutral
Can't believe I wasted my time of this,Sad,negative
So true,TRUE,positive 
Brillant,Good,positive
Can't stop laughing,Good,positive
Lame,Bad,negative
Seriously?,curiosity,neutral
Unoriginal,Bad,negative
Not sure how to feel,confuse,neutral
Can see both side,confuse,neutral
"Hmm,okay.",Okay,neutral
Neutral on this one.,Neutral,neutral
Love it.,Love,positive
Spot on.,accuracy,positive
Genius,good,positive
Thanks for the laugh.,Happy,positive
This is dumb.,Bad,negative
I don't get it.,refuse,negative
Stupid.,Bad,negative
"Meh, the update is neither good nor bad.",Neutral,neutral
"Meh, whatever.",Not interested,neutral
Not my cup of tea.,Not interested,neutral
Absolutely hate the new design. It's so confusing.,Hate,negative
Absolutely fantastic.,Fantastic,positive
Made me smile.,Happy,positive
Perfect timing.,Perfect,positive
Waste of bandwidth.,Regret,negative
"Decent app, does what it needs to.",Bad,negative
Didn't even crack a smile.,Sorry,negative
Not impressed .,Bad,negative
Indifferent.,Indifferent,neutral
I see what you did there.,Neutral,neutral
"Eh,it,s alright.",Okay,neutral
